name,category,url,area_min_m2,area_max_m2,floor,ceiling_height_m,electricity_kw,signage,separate_entrance,restroom,restrictions,contacts_email,raw_requirements
РИГЛА,Аптеки,/rigla.php,20.0,100.0,на 1 этаж; 1 этаж,,,True,False,False,,arenda_moscow@rigla.ru.,формат 20-100 кв.м. размещение на 1 этаже возможность размещения вывески либо наружной рекламы наличие санузла При предложении аренды в торговом центре желательно соседство помещения с продовольственным оператором.
ЮНИФАРМА,Аптеки,/unifarma.php,50.0,150.0,первый этаж; цоколь,,15.0,False,False,False,,arnd@unifarma.ru,"street — только первый этаж. ТРЦ — первые этаж или цоколь в прикассе продуктового якоря. Площадь — от 50 до 150 кв.м. Срок аренды — 5-10 лет с обязательной гос. регистрацией договора. Наличие водоснабжения и/или возможности пользования санузлом. Наличие электрической мощности — не менее 15 кВт. Возможность размещения полноразмерной рекламной конструкции и панель-кронштейна «аптечный крест». Наличие пешеходного трафика. Наличие центров притяжения — продуктовые супермаркеты, Торговые центры, остановки общественного транспорта, медицинские учреждения, транспортно-пересадочные узлы."
ПАРАЦЕЛЬС,Аптеки,/paracels.php,80.0,150.0,первый этаж,,,True,False,False,,support@retailstreets.ru,"Помещения рассматриваются в следующих городах Московской области: Раменское, Жуковский, Люберцы, Железнодорожный, Воскресенск, Бронницы, Электросталь. Первый этаж в оживленном месте, желательно торговом центре Площадь от 80 до 150 кв.м. Возможность размещения наружной рекламы Наличие коммуникаций"
36И6,Аптеки,/366.php,40.0,150.0,,,,False,False,False,,arenda@366.ru,Площадь от 40 до 150 кв.м. Расположение в торговых центрах и отдельные помещения. Обязательно наличие мокрой точки.
ДОКТОР СТОЛЕТОВ,Аптеки,/doctorstoletov.php,,,,,,False,False,False,,kozlov@erkapharm.com,
ОЗЕРКИ,Аптеки,/ozerki.php,,,,,,False,False,False,,kozlov@erkapharm.com,
ГОРЗДРАВ,Аптеки,/gorzdrav.php,40.0,80.0,,,15.0,True,True,False,,razvitie@366.ru,"площадь от 40 до 80 кв.м. первые этажи жилых комплексов и торговых центров, прикассовые зоны супермаркетов наличие витрин, отдельного входа, места для размещения рекламной вывески наличие мокрых точек, отопления и электричества 15 кВт"
СТОЛЕТНИК,Аптеки,/stoletnik.php,35.0,100.0,,,,False,False,False,,lopacheff@yandex.ru,Московская область не далее 50 км. Площадь от 35 до 100 кв.м. Наличие у арендодателя документов на собственность. Отсутствие в радиусе 1 км от предлагаемое локации аптек Столетник. Договор аренды от 5 лет. Интересны также помещения внутри или вблизи лечебных учреждений.
МЕЛОДИЯ ЗДОРОВЬЯ,Аптеки,/melzdorov.php,30.0,70.0,первый этаж,,,False,False,False,,arenda@melzdrav.ru,Торговые центры: первый этаж при входе либо прикассовая зона супермаркета. Площадь от 30 до 70 кв.м для торговых центров и от 30 до 100 кв.м. для стрит-ритейла. Договор аренды от 3 лет
МАСАВИТ,Аптеки,/maksavit.php,40.0,100.0,1 этаж; 1 этаж,,,False,False,False,,arenda@maksavit.ru,Площадь от 40 до 100 кв.м. 1 этаж. Возможность размещения рекламы
АПРЕЛЬ,Аптеки,/aprel.php,50.0,100.0,1 этаж; 1 этаж,,,False,True,True,,poisk_info@apteka-aprel.ru,"1 этаж, на первой линии застройки, с отдельным входом, либо возможность создания отдельного входа; в основных пешеходных зонах, вблизи остановок общественного транспорта, в спальных районах рядом с продуктовыми супермаркетами; общая площадь – от 50 до 100 кв.м., площадь торгового зала — не менее 40 кв.м. наличие воды, канализации, отопления, с/у- обязательно;"
СТОЛИЧКИ,Аптеки,/stolichki.php,80.0,200.0,первый этаж,,,False,False,False,,estate@neo-pharm.ru,"Регионы: Москва, Санкт-Петербург, Московская, Ленинградская, Владимирская, Рязанская, Ивановская, Костромская, Тульская, Ярославская, Псковская, Новгородская, Калужская области. Площадь от 80 до 200 м2 Первый этаж. Стрит-ритейл и торговые центры, прикассовые зоны супермаркетов"
ДИАЛОГ,Аптеки,/dialog.php,,,,,,False,False,False,,support@retailstreets.ru,
НЕОФАРМ,Аптеки,/neofarm.php,60.0,250.0,первый этаж,,,False,True,False,,estate@neo-pharm.ru,"Регион расположения: Москва, Московская область, Санкт-Петербург, Ленинградская область. Площадь: от 60 – 250 кв.м. Наличие в помещении отдельного входа. Наличие водоснабжения и возможности устройства санузла. Первый этаж, не более 4 ступеней или любой этаж при размещении в прикассовой зоне якорного продуктового супермаркета (гипермаркета). Срок аренды не менее 5 лет."
РОСАПТЕКА,Аптеки,/rosapteka.php,,,,,,False,False,False,,,
АПТЕЧЕСТВО,Аптеки,/aptechestvo.php,40.0,80.0,первый этаж,,7.0,False,True,False,,arenda@aptechestvo.ru,первый этаж; отдельный вход или изолированное помещение от соседних арендаторов; площадь помещения 40-80 м2; возможность размещения рекламных конструкций; наличие санитарного узла с водопроводом и канализацией; электроснабжение по отдельной линии мощностью не менее 7 кВт; возможность размещения отдельного блока кондиционера; наличие приточно-вытяжной вентиляции; наличие пандуса или возможности его монтажа; приветствуется наличие в окружении продуктового оператора.
ГАРМОНИЯ ЗДОРОВЬЯ,Аптеки,/garzdrav.php,,,,,,False,False,False,,Serdiuk.AV@garzdrav.ru,"Регионы присутствия: Алтайский край, Иркутская область, Кемеровская область, Красноярский край, Краснодарский край, Московская область, Новосибирская область, Крым, Хакасия"
ЖИВИКА,Аптеки,/zhivika.php,70.0,150.0,,,,True,False,False,,support@retailstreets.ru,"Рассматриваем предложения в Свердловской, Челябинской, Кемеровской, Курганской, Новосибирской, Омской, Тюменской областях, Пермском и Алтайском краях, а также в республиках Татарстан и по аренде и покупке права аренды покупка торговых площадей для размещения аптек Площадь от 70 до 150 м2 размещение на первом этаже с возможностью размещения вывески и наружной рекламы."
ПЛАНЕТА ЗДОРОВЬЯ,Аптеки,/planetzdorovo.php,40.0,350.0,на 1 этаж; 1 этаж,,,True,False,False,,support@retailstreets.ru,Площадь 40-350 кв.м. Размещение на 1 этаже Возможность ращения вывески либо наружной рекламы Рассматривается аренда и покупка
СБЕРБАНК,Банки,/sberbank.php,,,,,,False,True,False,,sberbank@sberbank.ru,"Объект введен в эксплуатацию. Для строящихся объектов необходимо наличие разрешительных документов. Помещение расположено: - на первом этаже здания на первой линии домов со стороны проезжей части, имеется отдельный вход и фасадные окна; - на территории ТЦ/ТРЦ в месте с высоким клиентопотоком. Наличие удобных подъездных путей для автотранспорта и парковочных мест возле здания. Высота потолка (от чистового пола до чистового потолка) – не менее 2,5 м. Отсутствуют обременения третьих лиц, помещение не находится в споре / под арестом. Минимальный срок аренды – 5 лет."
АЛЬФАБАНК,Банки,/alfabank.php,,,,,,False,False,False,,,
HOME CREDIT BANK,Банки,/homecredit.php,,,,,,False,False,False,,,
МОСКОВСКИЙ КРЕДИТНЫЙ БАНК,Банки,/mkb.php,100.0,150.0,первый этаж,,0.2,True,True,False,,orn@mkb.ru,"город Москва площадь от 100 до 150 м2 первая линия домов, первый этаж отдельный вход с улицы наличие окон, желательно витринного типа свободная планировка либо возможность переоборудования под банковский формат возможность размещения средств наружной рекламы на фасаде здания возможность размещения банкомата с круглосуточным режимом (широкая входная группа / тамбур) электрическая мощность 0,2 кВт на 1 м2 долгосрочный договор"
VPROK.RU,Дарксторы,/vprok.php,7000.0,20000.0,на 1 этаж; 1 этаж,5.0,1300.0,False,False,False,,oleg.spiridonov@x5.ru,"Площадь от 7000 до 20000 м2. Мощность электричества 1300 Квт. Высота потолков от 5 м. Водоснабжение, канализация. Размещение на 1 этаже здания в одном уровне. Парковка на 150 машин, включая 30 у дебаркадера. Площадка для маневрирования фур у дебаркадера. Возможность размещения конденсатора весом 6 т."
ЯНДЕКС ЛАВКА,Дарксторы,/yandexlavka.php,200.0,,подвал; цоколь,2.5,35.0,False,True,False,,support@retailstreets.ru,"площадь от 200 м2 возможность размещения от 4х блоков кондиционеров и холодильного оборудования беспрепятственный круглосуточный доступ подъездные пути для грузового транспорта (до 5 тонн) зона разгрузки (не со стороны жилых подъездов); место размещения велопарковки на 12 велосипедов у входа (до 50 метров) — зальная планировка изолированное помещение не менее 2 входов для цоколя/подвала соответствие помещения требованиям по пожарной безопасности подвал, цоколь, первый, второй (при наличии грузового лифта/ подъёмника с установкой и обслуживанием силами и за счёт арендодателя) расположение помещения в одном уровне без перепадов наличие 2 отдельных входа для подвалов/цокольных этажей; для всех остальных - 1 вход высота потолка от 2,5 м мощность от 35 кВт тип помещения нежилое назначение: свободное, склад, общепит, торговое пропускная система для курьеров свободная вентиляция и кондиционирование наличие или возможность установки водоснабжение, отопление, канализация."
САМОКАТ,Дарксторы,/samokat.php,200.0,,первый этаж,,,False,False,False,,arenda@samokat.ru,Площадь от 200 м2 Только первый этаж
ВКУСВИЛЛ,Дарксторы,/vkusvilldarkstore.php,600.0,1000.0,первый этаж; подвал,,150.0,False,False,False,,support@retailstreets.ru,"Помещения под дарксторы торговой сети ВкусВилл: Размещение: отдельностоящие помещения, склады Площадь помещения от 600 до 1000 м2 в один уровень Электроэнергия: не менее 150 кВт Первый этаж. Также можно рассмотреть подвал или второй этаж при наличии не менее двух грузовых лифтов Должна быть парковка именно под наш автотранспорт легковых автомобилей, не менее 25 мест Отопление, ХВС, канализация"
OZON fresh,Дарксторы,/ozonfresh.php,400.0,700.0,подвал,,60.0,False,False,False,,support@retailstreets.ru,"Москва и Московская область площадь помещения 400-700 м2 помещение должно быть отапливаемое; размещение на первом этаже, для размещения в цоколе, подвале, на втором этаже требуется подъемник не менее тонны — один и более входов в помещение (для цоколя и подвала обязательно более двух) — возможность размещения от 4-х блоков кондиционеров и холодильного оборудования на фасаде, кровле или у отмостки здания расположение помещения в одном уровне без перепадов; — закрытый арендуемый контур помещения, не кабинетная планировка, без перепадов высот — минимальная ширина входного проема 1,2 м высота потолков минимум 2,4 м; минимальная мощность 60 кВт; беспрепятственный круглосуточный доступ; подъездные пути для грузового транспорта (до 10 тонн); место размещения велосипедной парковки на 5-10 велосипедов у входа — наличие точек подключения к ХВС/ГВС, вывод канализации внутри помещения"
4 ЛАПЫ,Зоомагазины,/4lapy.php,,,,,,False,False,False,,arenda@4lapy.ru,
БЕТХОВЕН,Зоомагазины,/bethoven.php,,,1 этаж; 1 этаж,,40.0,True,False,False,,yakel.yf@petretail.ru,"Центральная улица и первая линия домов, просматриваемость с проезжей части Наличие активного пешеходного и автомобильного трафика Парковка для клиентов Свободный подъезд грузового транспорта (желательно с зоной разгрузки) Наличие других арендаторов в непосредственной близости Требования к помещению Street Retail: 1 этаж дома, встроено-пристроенное, отдельно стоящее здание наличие витринных окон на фасаде здания возможность размещения вывески полного формата на фасаде и перед входом в арендуемое помещение площадь вспомогательных помещений не должна превышать 20% от общей арендуемой площади торговый зал должен быть правильной формы обеспечение электрической мощности 25-40 кВт обязательно наличие канализации, водоснабжения и отопления."
ЛЕМУРРР,Зоомагазины,/lemurrr.php,15.0,100.0,,,,False,False,False,,Aleksey.Chekunov@lemurrr.com,Площадь 15-100 кв.м.
ЗАПОВЕДНИК,Зоомагазины,/zapovednik.php,100.0,,,,,False,False,False,,arenda@zapovednik96.ru,"Екатеринбург, Омск, Пермь, Тюмень, Асбест, Березовский, Верхняя Пышма, Каменск-Уральский, Нижний Тагил, Первоуральск, Полевской, Ревда, Санкт-Петербург, Серов, Среднеуральск Площадь от 100 кв.м"
ДИНОЗАВРИК,Зоомагазины,/dinozavrik.php,100.0,300.0,цоколь,2.5,,False,False,False,,arenda@dinozavrik.ru,"Первый или цокольный этаж. Площадь от 100 до 300 кв.м. (для торговых центров). Площадь от 250 до 800 кв.м. (для стрит ритейла). Торговый зал не менее 70 кв.м. Высота потолков не ниже 2,5 м."
ЗООЗАВР,Зоомагазины,/zoozavr.php,90.0,,,,15.0,False,False,True,,IMolodtsov@detmir.ru,"Областные города и населенные пункты с количеством жителей более 60 000 человек; Первая линия, наличие в окружении жилья и продуктовой федеральной сети. Пешеходный и автомобильный трафик, парковка для покупателей. Наличие условий для разгрузки; Общая площадь помещений от 90 м² до 120 м²; Помещение должно располагаться на первом этаже и иметь отдельный центральный вход или общий вход/прикассовая зона с продуктовой федеральной сетью; Подсобные помещения должны находиться на одном уровне с торговым залом и иметь свой С/У; Высота потолков не менее 3 метров. Наличие коммуникаций: водоснабжение, теплоснабжение, электроснабжение (минимум 15 кВт на 100 м² общей площади), канализация, каналы связи."
МИР ХВОСТАТЫХ,Зоомагазины,/mirhvost.php,20.0,400.0,первый этаж,,,False,False,False,,arenda@mirhvost.ru,"Рассматриваются Москва и Екатеринбург. Площадь помещения от 20 до 400 м2. Желательно однообъемный торговый зал. Высота потолка не менее 2,5 метров. Первый этаж. Наличие жилого сектора. Помещение должно хорошо просматриваться либо со стороны проезжей части, либо с пешеходной зоны. Автопарковка перед помещением желательна."
COFIX,Кофе с собой,/cofix.php,15.0,,,,60.0,False,False,False,,support@retailstreets.ru,Площадь от 15 м² для островной локации (а также для мини формата в стрит) до 150 м² для полноценного кафе. Электрическая мощность: 15-60 кВт. Инженерные системы: водоснабжение и канализация.
ПРАВДА КОФЕ,Кофе с собой,/pravdacoffee.php,,,,,,False,False,False,,m.fetisov@pravdacoffee.ru,
ONEANDDOUBLE,Кофе с собой,/oneanddouble.php,15.0,50.0,,,18.0,True,False,False,,support@retailstreets.ru,"Площадь от 15 до 50 м2. Электричество 18 Квт, ХВС, слив. Вход отдельный с вывеской"
ONEPRICECOFFEE,Кофе с собой,/onepricecoffee.php,7.0,12.0,,,,False,False,False,,support@retailstreets.ru,"Остров 7-12 м2 отдельное помещение 15-45 м2. Рассматриваем помещения в торговых центрах, а также формат стрит-ритейл. Главное - высокая проходимость."
МОСИГРА,Детские товары,/mosigra.php,20.0,30.0,первый этаж,,,False,False,False,,retail@mosigra.ru,Стрит-ритейл и торговые центры. Площадь 20-30 кв.м. Первый этаж (для ТЦ возможно размещение на этаже где расположен кинотеатр или развлекательный центр)
ЛЕОНАРДО,Детские товары,/leonardo.php,500.0,1000.0,,,,False,False,False,,arenda@leonardohobby.ru,площадь от 500 до 1000 кв.м. для крупных ТРЦ Москвы и межрегиональных ТРЦ площадь до 1400 кв.м. города с населением не менее 300 тысяч человек
ДЕТСКИЙ МИР,Детские товары,/detmir.php,700.0,,3 этаж,,5.0,False,False,False,,IMolodtsov@detmir.ru,"Детский мир · Населенные пункты с количеством жителей более 80 000 человек; · Общая площадь помещений от 700 м² до 1 200 м²; · Помещение должно располагаться в Торговых центрах (-1,1,2,3 этажи при обеспечении грузовым подъемником и пассажирскими лифтами/эскалаторами); · Подсобные помещения должны находиться на одном уровне с торговым залом. · Высота потолков не менее 3,5 метров; · Наличие коммуникаций: водоснабжение, теплоснабжение, электроснабжение (5 кВт на 100 м² общей площади), канализация, каналы связи. Детмир мини · Районные центры, Населенные пункты с количеством жителей более 25 000 человек; · Общая площадь помещений от 380 м² до 420 м²; · Помещение должно располагаться в торговых зонах города (-1,1,2,3 этажи при обеспечении грузовыми подъемником и пассажирскими лифтами/эскалаторами); · Подсобные помещения должны находиться на одном уровне с торговым залом. · Высота потолков не менее 3,5 метров; · Наличие коммуникаций: водоснабжение, теплоснабжение, электроснабжение (7 кВт на 100 м² общей площади), канализация, каналы связи."
ГЕМОТЕСТ,Медицина,/gemotest.php,,,первый этаж,,10.0,False,True,False,,arendastolica@gemotest.ru,"Нежилое помещение; Первая линия домов, главная улица, жилой массив; Отдельный вход; Первый этаж; Наличие минимум одного окна; Наличие минимум 10 кВт; ХВС, ГВС, канализации; Высота потолка не менее 2,6 м; Помещение в собственности без обременений; Наличие технического паспорта/плана."
ЦВЕТ ДИВАНОВ,Мебель,/zvet.php,100.0,250.0,,,,False,False,False,,dimitriy@zvet.ru,Площадь 100-250 м2; Наличие телефонной линии и интернета; Возможность размещения рекламы на фасаде
КУХОННЫЙ ДВОР,Мебель,/kuhonydvor.php,200.0,400.0,1 этаж; 1 этаж,,15.0,True,True,False,,support@retailstreets.ru,"Торговые площади без вспомогательных зон. Площадь: 200-400 кв.м Расположение: 1 линия домов, 1 этаж, отдельный вход, витринные окна. если это ТЦ – центральные места, рядом с эскалатором, рядом со входом. хороший подъезд. Высота потолков: от 3 м. Длительный срок аренды (от 3-5 лет). Выделенная мощность – от 15 кВт (переменное напряжение U=220/380 В). Водопровод (холодная вода обязательно, горячая – желательно). Канализация. Наличие вентиляции или возможности подключения вытяжки . Наличие места под наружную рекламу. Наличие телефонии."
ANDERSSEN,Мебель,/anderssenmebel.php,,,,,,False,False,False,,yanikin@anderssen.ru,"Предлагаем вам сотрудничество с лидером рынка мягкой мебели и Маркой №1 в России - фабрикой Anderssen. Нас интересуют торговые площади в Москве и Московской области для открытия фирменных салонов с мягкой мебелью Anderssen. Работая с нами, Вы получаете ответственного арендатора, надежного партнера, своевременно исполняющего все свои обязательства."
ДЕФО,Мебель,/defo.php,200.0,500.0,,3.0,15.0,True,False,False,,support@retailstreets.ru,Площадь от 200 до 500 кв.м. Высота потолков от 3 м. Электричество мощностью от 15 Квт. Витринные окна. Два входа с улицы и разгрузочный со двора. Договор от 3 лет.
HOFF,Мебель,/hoff.php,,,,,,False,False,False,,arenda@hoff.ru,
ТЕРВОЛИНА,Обувь,/tervolina.php,,,,,,False,False,False,,m_golubtsov@tervolina.ru,
ZENDEN,Обувь,/zenden.php,250.0,1000.0,,,,False,False,False,,arenda@zenden.ru,Площадь от 250 до 1000 кв.м.
FRANCESCO DONNI,Обувь,/francesco.php,120.0,250.0,,,,False,False,False,,golyb_sergey@mail.ru,"Ищем помещения в Москве, МО и Санкт-Петербурге Площадь от 120 до 250 кв.м"
БАШМАГ,Обувь,/bashmag.php,170.0,300.0,,,,False,False,False,,bashmag@bk.ru,Москва и Московская область. Площадь 170-300 кв.м. Торговые центры и стрит-ритейл.
KARI,Обувь,/kari.php,300.0,,,,,False,False,False,,rent@kari.com,"Площадь от 300 кв.м. Предложения направляйте на почту, в письме укажите точный адрес и контакты."
МИЛАНА,Обувь,/milana.php,90.0,130.0,первый этаж; торговый центр,,5.0,True,True,False,,arenda@milana-shoes.ru,"Отдельно стоящее здание:
расположение на центральных исторически сложившихся торговых улицах
первый этаж (без цоколя)
отдельный вход
наличие витрин или витрин-окон, минимальная высота 2 метра, без тонирования.
хорошая видимость фасада и вывески
высота потолков не менее 3 м
Торговый центр:
площадь ТЦ не менее 10 тыс. м2
расположение не выше 2-ого этажа торговой галереи
наличие торговой галереи обувных и одежных арендаторов
наличие по соседству магазинов с группами товаров - обувь Общие требования к помещению:

общая площадь 90-130 м2
высота потолков не менее 3 м
ширина входной группы не менее 1,5 м
возможность размещения вывески
проведение телефона и широкополосного интернета
электропитание не менее 5 кВт. Контакты отдела развития MILANA электронная почта для предложений аренды: arenda@milana-shoes.ru 

телефон +7 (495) 215-24-41 Разместить объявление о сдаче в аренду КАТАЛОГ АРЕНДАТОРОВ Алкомаркеты Аптеки Банк Дарксторы Детские товары Зоомагазин Кофе с собой Медицина Мебель Обувь Общепит Одежда Оптика Парфюмерия и косметика Продукты Пункт выдачи Развлечения/Кинотеатры Салон связи Салон красоты/барбершоп Спорт Стройматериалы Супермаркет/Гипермаркет Товары для дома Фото/печатные салоны Электроника, бытовая техника Ювелирный"
ТОФА,Обувь,/tofa.php,230.0,350.0,цоколь; торговый центр,,,False,False,False,,rent@tofa.ru,"Высокий пешеходный трафик, расположение вблизи рынков, вокзалов, станций метро. Стрит-формат или торговый центр (цоколь, первый, второй этаж). Площадь - от 230 до 350 м2. Торговый зал от 120 м2. Торговое окружение, наличие других сетевых операторов поблизости."
SELA,Одежда,/sela.php,300.0,,,,,False,False,False,,expansion@melonfashion.com,"Площадь помещения от 300 кв. м. до 400 кв. м.( если торговое помещение меньше заявленного минимума, то обязательно наличие отдельного подсобного помещения) Выделенная электрическая мощность не менее 80 Вт. на один квадратный метр общей площади Арендные каникулы Возможность размещения рекламных вывесок на фасаде здания, внутри ТЦ и размещение в навигации Расположение не выше 2-го этажа Непосредственная близость метро или транспортной развязки Оплата аренды по безналичному расчету Рублевый договор аренды Право Арендатора на досрочное расторжение договора аренды"
ТВОЕ,Одежда,/tvoe.php,10000.0,,,,,True,False,False,,arenda@tvoe.ru,Торговые центры с аренднопригодной площадью (GLA) от 10000 м2. Площадь от 300 м2 Первый или второй этаж. Витрина от 10 м
OSTIN,Одежда,/ostin.php,250.0,1200.0,,,,False,False,False,,arenda@o-stin.ru,"Торговые и торгово-развлекательные центры магазины в формате STREET-RETAIL, находящиеся в основных торговых коридорах города. Площадь помещений – от 250 до 1200 кв.м."
FUNDAY,Одежда,/funday.php,,,,,,False,False,False,,support@retailstreets.ru,"В наших планах открытие магазинов FUNDAY в каждом крупном городе России! Мы хотим, чтобы каждый город присоединился к FUN – движению и каждая семья стала немножко счастливее!"
FAMILIA,Одежда,/familia.php,1500.0,,,,,False,False,False,,rent@famil.ru,Общая площадь - от 1500 м² до 2500 м² Москва и города-миллионики.
MODIS,Одежда,/modis.php,900.0,1200.0,,,,False,False,False,,arenda@modis.ru,Расположение: ТЦ или street retail Высокий трафик Общая площадь: 900-1200 кв.м
ZOLLA,Одежда,/zolla.php,400.0,900.0,,,,False,False,False,,support@retailstreets.ru,основные фэшн галереи в торговых центрах; формат площади от 400- 900м2.
GLORIA JEANS,Одежда,/gloriajeans.php,800.0,,,,,False,False,False,,arenda@gloria-jeans.ru,Помещения площадью от 800 кв.м.
INCITY,Одежда,/incity.php,250.0,500.0,1й этаж; торговый центр,,0.1,False,False,False,,incity@incity.ru,"Street (объект на главной торговой улице) — 1й этаж Торговый центр — 1й или 2й этаж 
Общая площадь от 250 до 500 м2
Выделенная электрическая мощность – 0,1 кВт/м2"
JEANS SYMPHONY,Одежда,/jeanssymphony.php,150.0,200.0,,,,False,False,False,,o.kotovschuk@jscom.ru,Площадь помещения — от 80 м2 до 500 м2 в зависимости от бренда и формата. Средний формат магазинов — 150-200 м2 Средняя выделенная электрическая мощность не менее 100 Вт. на один квадратный метр общей площади; Арендные каникулы; Возможность размещения рекламных вывесок на фасаде здания торгового центра; Непосредственная близость метро и/или пересечение главных магистралей; Долгосрочный договор аренды.
СУДАРЬ,Одежда,/sudar.php,150.0,1000.0,,,,False,False,False,,karpova@sudar.su,"Торговые центры Торговые центры, Торгово-развлекательные центры Торговая площадь: от 150 до 1000 м² Проходимость: высокая Этаж: -1, 1 и 2 торгового центра Хорошая транспортная доступность Стрит ритейл Отдельно стоящие, встроенно-пристроенные, пристройки к жилому дому Москва и Московская область Торговая площадь: от 150 до 1000 м²"
ILCOTT,Одежда,/ilcott.php,50.0,120.0,,,,False,False,False,,support@retailstreets.ru,Крупные торговые центры. Площадь 50-120 кв.м. Высокая проходимость. Расположение не выше второго этажа.
КАЛЯЕВ,Одежда,/kalyaev.php,500.0,1500.0,1-2 этаж; 2 этаж,,,False,False,False,,area@elegantka.moda,"Торговая площадь: 500-1500 кв.м; Торговые центры в Москве, МО, Санкт – Петербурге; Интересуют 1-2 этажи ТЦ; Наличие крупных транспортных развязок, метро; Наличие парковки; Длительный срок аренды."
